Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,19.000000,19.400000,18.900000,19.049999,9.559481,4500
1996-01-02,19.049999,19.000000,18.299999,18.500000,9.283485,9100
1996-01-03,18.500000,19.049999,18.500000,18.600000,9.333669,5300
1996-01-04,18.400000,18.600000,18.299999,18.600000,9.333669,3500
1996-01-05,18.600000,18.650000,18.250000,18.600000,9.333669,3100
1996-01-08,18.000000,18.000000,17.150000,17.250000,8.656223,5000
1996-01-09,17.250000,17.150000,16.250000,16.500000,8.279865,7000
1996-01-10,16.600000,17.250000,16.600000,17.250000,8.656223,1900
1996-01-11,17.000000,17.200001,17.000000,17.000000,8.530771,1200
1996-01-12,17.000000,17.200001,16.750000,17.200001,8.631132,8700
1996-01-15,16.500000,16.950001,15.600000,16.000000,8.028962,5600
1996-01-16,16.500000,16.850000,16.250000,16.250000,8.154415,2400
1996-01-17,16.250000,16.850000,16.250000,16.549999,8.304956,2000
1996-01-18,16.549999,15.950000,15.250000,15.800000,7.928600,2100
1996-01-19,16.000000,16.000000,15.300000,15.350000,7.702786,5100
1996-01-22,15.250000,15.250000,14.600000,14.600000,7.326427,2900
1996-01-23,14.900000,15.000000,14.650000,14.750000,7.401698,7300
1996-01-24,14.700000,15.200000,14.700000,15.050000,7.552241,3400
1996-01-25,15.000000,15.500000,15.000000,15.500000,7.778058,5100
1996-01-26,15.500000,15.500000,15.500000,15.500000,7.778058,0
1996-01-29,15.500000,15.450000,14.900000,15.000000,7.527150,7600
1996-01-30,15.000000,16.000000,15.250000,16.000000,8.028962,2100
1996-01-31,16.000000,16.250000,15.400000,15.600000,7.828238,1100
1996-02-01,15.600000,16.400000,15.650000,16.400000,8.229684,1100
1996-02-02,16.500000,17.500000,16.400000,17.250000,8.656223,4400
1996-02-05,17.250000,19.000000,16.500000,16.750000,8.405317,11100
1996-02-06,16.750000,17.200001,16.750000,16.750000,8.405317,7600
1996-02-07,16.500000,17.000000,16.000000,16.750000,8.405317,3000
1996-02-08,16.750000,17.000000,16.750000,17.000000,8.530771,3000
1996-02-09,17.049999,17.500000,17.049999,17.500000,8.781678,4100
1996-02-12,17.500000,18.000000,17.500000,17.600000,8.831857,6500
1996-02-13,17.600000,18.000000,17.600000,17.850000,8.957309,4000
1996-02-14,17.850000,18.000000,17.100000,17.950001,9.007491,3500
1996-02-15,17.950001,19.000000,18.000000,18.900000,9.484210,7100
1996-02-16,18.900000,18.250000,18.000000,18.100000,9.082763,4000
1996-02-19,18.000000,18.000000,17.799999,17.900000,8.982401,5900
1996-02-20,17.900000,18.200001,17.350000,17.700001,8.882037,9000
1996-02-21,17.700001,17.700001,17.700001,17.700001,8.882037,0
1996-02-22,17.700001,18.500000,17.600000,18.200001,9.132944,14000
1996-02-23,18.500000,18.850000,17.750000,17.950001,9.007491,17800
1996-02-26,18.400000,18.400000,17.600000,17.750000,8.907128,13200
1996-02-27,17.850000,17.950001,17.049999,17.200001,8.631132,17300
1996-02-28,17.500000,17.950001,17.250000,17.500000,8.781678,8600
1996-02-29,17.500000,17.650000,17.200001,17.200001,8.631132,6800
1996-03-01,17.450001,17.650000,17.000000,17.100000,8.580953,27200
1996-03-04,16.750000,17.000000,16.500000,16.600000,8.330048,18700
1996-03-05,16.600000,16.600000,16.600000,16.600000,8.330048,0
1996-03-06,16.600000,16.900000,16.049999,16.100000,8.079142,18200
1996-03-07,16.100000,16.500000,16.000000,16.500000,8.279865,11500
1996-03-08,16.500000,16.200001,16.100000,16.200001,8.129323,1400
1996-03-11,16.200001,16.450001,16.100000,16.100000,8.079142,8200
1996-03-12,16.100000,15.950000,15.250000,15.250000,7.652601,10000
1996-03-13,15.600000,15.700000,15.550000,15.700000,7.878417,7600
1996-03-14,15.750000,15.950000,15.550000,15.550000,7.803147,6500
1996-03-15,15.550000,15.650000,15.150000,15.200000,7.627514,7100
1996-03-18,15.050000,15.250000,14.750000,14.750000,7.401698,7200
1996-03-19,14.500000,15.250000,14.450000,14.800000,7.426790,9200
1996-03-20,14.800000,14.800000,14.800000,14.800000,7.426790,0
1996-03-21,14.800000,15.150000,14.850000,14.900000,7.476970,4700
1996-03-22,15.000000,15.000000,14.100000,14.450000,7.251155,9200
1996-03-25,14.450000,15.000000,14.150000,14.150000,7.100612,3000
1996-03-26,14.150000,14.800000,14.150000,14.800000,7.426790,18200
1996-03-27,14.800000,14.750000,14.500000,14.500000,7.276246,6100
1996-03-28,14.500000,15.900000,14.800000,15.800000,7.928600,4100
1996-03-29,15.800000,15.400000,15.000000,15.000000,7.527150,8400
1996-04-01,15.000000,15.400000,14.400000,15.300000,7.677694,4400
1996-04-02,15.300000,15.350000,14.950000,15.150000,7.602423,13800
1996-04-03,15.150000,15.500000,15.050000,15.450000,7.752966,9100
1996-04-04,15.450000,15.500000,14.850000,15.100000,7.577332,24700
1996-04-05,15.100000,15.100000,15.100000,15.100000,7.577332,0
1996-04-08,15.100000,15.500000,15.000000,15.100000,7.577332,37900
1996-04-09,15.100000,15.600000,15.250000,15.450000,7.752966,10900
1996-04-10,15.450000,15.500000,15.350000,15.450000,7.752966,7700
1996-04-11,15.450000,15.750000,15.300000,15.500000,7.778058,5900
1996-04-12,15.500000,16.250000,15.500000,16.049999,8.054051,5400
1996-04-15,16.049999,16.450001,15.900000,16.299999,8.179504,9700
1996-04-16,16.299999,17.950001,16.400000,17.299999,8.681313,16700
1996-04-17,17.299999,19.150000,17.900000,19.150000,9.609665,34300
1996-04-18,19.150000,20.250000,19.000000,19.200001,9.634755,30000
1996-04-19,19.200001,20.000000,19.500000,19.600000,9.835478,34500
1996-04-22,19.600000,19.799999,18.900000,19.000000,9.534391,27500
1996-04-23,19.000000,18.850000,18.100000,18.250000,9.158034,24100
1996-04-24,18.250000,19.500000,18.750000,19.000000,9.534391,7900
1996-04-25,19.000000,19.500000,18.650000,19.000000,9.534391,11400
1996-04-26,19.000000,19.250000,18.299999,18.650000,9.358757,15000
1996-04-29,18.650000,18.700001,18.500000,18.500000,9.283485,6800
1996-04-30,18.500000,18.500000,17.549999,18.299999,9.183124,17700
1996-05-01,18.299999,19.100000,18.000000,18.150000,9.107853,6800
1996-05-02,18.150000,18.950001,18.100000,18.400000,9.233306,6900
1996-05-03,18.400000,18.500000,18.250000,18.400000,9.233306,2300
1996-05-06,18.400000,18.400000,17.850000,18.000000,9.032581,12100
1996-05-07,18.000000,18.000000,17.250000,17.299999,8.681313,7600
1996-05-08,17.299999,18.000000,17.600000,17.750000,8.907128,9700
1996-05-09,17.750000,17.250000,16.950001,17.200001,8.631132,5300
1996-05-10,16.549999,16.900000,16.400000,16.400000,8.229684,8500
1996-05-13,16.400000,16.500000,16.000000,16.250000,8.154415,9700
1996-05-14,16.250000,16.750000,16.250000,16.400000,8.229684,11800
1996-05-15,16.400000,17.000000,16.100000,16.900000,8.480590,11600
1996-05-16,16.900000,18.700001,17.000000,17.799999,8.932217,19300
1996-05-17,17.799999,17.900000,17.250000,17.400000,8.731494,18000
1996-05-20,17.400000,17.500000,17.049999,17.200001,8.631132,7300
1996-05-21,17.250000,17.250000,16.500000,17.100000,8.580953,14100
1996-05-22,17.049999,17.100000,17.000000,17.000000,8.530771,2700
1996-05-23,17.000000,17.400000,16.500000,16.650000,8.355137,10100
1996-05-24,16.650000,16.549999,16.250000,16.450001,8.254777,4100
1996-05-27,16.450001,16.450001,15.750000,16.100000,8.079142,3500
1996-05-28,16.100000,16.150000,14.800000,15.500000,7.778058,20000
1996-05-29,15.500000,16.600000,16.049999,16.250000,8.154415,2600
1996-05-30,16.250000,16.500000,16.250000,16.250000,8.154415,3500
1996-05-31,16.250000,16.600000,16.500000,16.549999,8.304956,7000
1996-06-03,16.549999,17.000000,16.400000,16.700001,8.380229,6800
1996-06-04,16.700001,16.850000,16.100000,16.850000,8.455500,10600
1996-06-05,16.799999,17.049999,16.750000,16.950001,8.505683,13000
1996-06-06,17.000000,18.500000,16.950001,18.299999,9.183124,29500
1996-06-07,18.000000,18.500000,17.850000,17.850000,8.957309,16700
1996-06-10,18.100000,18.200001,17.750000,17.799999,8.932217,9100
1996-06-11,17.750000,18.000000,17.500000,17.750000,8.907128,17600
1996-06-12,17.750000,17.900000,16.750000,16.950001,8.505683,40500
1996-06-13,17.250000,17.549999,17.150000,17.200001,8.631132,11000
1996-06-14,17.250000,17.450001,17.100000,17.400000,8.731494,5100
1996-06-17,17.500000,18.000000,17.100000,17.450001,8.756586,19300
1996-06-18,17.150000,17.500000,17.100000,17.299999,8.681313,35100
1996-06-19,17.000000,17.450001,17.000000,17.150000,8.606043,7000
1996-06-20,17.049999,17.600000,16.850000,17.500000,8.781678,10300
1996-06-21,17.200001,17.600000,17.150000,17.250000,8.656223,18000
1996-06-24,17.049999,17.049999,16.799999,16.900000,8.480590,8900
1996-06-25,16.950001,16.950001,16.500000,16.549999,8.304956,6000
