Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,236.500000,243.899994,225.250000,229.125000,228.681442,7209054
2021-08-05,229.699997,231.024994,218.750000,220.975006,220.547226,3059564
2021-08-06,221.800003,249.500000,221.750000,237.225006,236.765762,11441682
2021-08-09,241.000000,253.649994,240.625000,246.100006,245.623581,7515606
2021-08-10,246.949997,248.300003,216.949997,227.899994,227.458801,4718194
2021-08-11,227.774994,230.225006,213.274994,224.774994,224.339859,4353164
2021-08-12,226.000000,244.399994,222.600006,242.250000,241.781021,4234150
2021-08-13,243.000000,248.500000,232.774994,236.024994,235.568069,3193150
2021-08-16,240.000000,246.625000,232.274994,234.524994,234.070984,2539408
2021-08-17,235.175003,242.350006,230.625000,237.800003,237.339645,2017234
2021-08-18,239.000000,240.375000,230.125000,231.899994,231.451065,1352364
2021-08-20,225.274994,231.375000,217.875000,220.475006,220.048187,1366482
2021-08-23,224.725006,228.449997,204.500000,207.024994,206.624222,2239246
2021-08-24,209.875000,218.175003,206.625000,214.699997,214.284363,1509756
2021-08-25,216.000000,222.425003,212.500000,213.774994,213.361145,1488658
2021-08-26,214.000000,219.199997,214.000000,218.024994,217.602921,1186424
2021-08-27,217.000000,223.225006,215.000000,221.925003,221.495377,1453916
2021-08-30,223.375000,234.949997,221.175003,227.050003,226.610458,2511510
2021-08-31,228.199997,233.675003,222.050003,225.024994,224.589371,1934362
2021-09-01,225.850006,227.250000,220.750000,221.824997,221.395569,1423132
2021-09-02,222.475006,243.475006,222.375000,241.074997,240.608307,5684304
2021-09-03,243.500000,247.500000,236.500000,237.975006,237.514313,3856898
2021-09-06,239.225006,240.850006,234.074997,237.300003,236.840607,2952554
2021-09-07,237.000000,255.524994,234.250000,251.500000,251.013123,6835062
2021-09-08,255.774994,262.500000,249.100006,255.050003,254.556259,7792494
2021-09-09,255.000000,260.950012,252.750000,256.299988,255.803818,2207632
2021-09-13,255.524994,265.000000,254.324997,261.500000,260.993774,3421326
2021-09-14,263.700012,266.700012,258.500000,259.524994,259.022583,2205390
2021-09-15,260.049988,274.500000,256.000000,271.174988,270.650024,5387388
2021-09-16,273.299988,325.399994,273.299988,324.225006,323.597351,16139218
2021-09-17,327.000000,358.825012,315.325012,331.174988,330.533875,15659654
2021-09-20,317.600006,329.225006,294.299988,298.750000,298.171661,7745304
2021-09-21,290.774994,304.500000,283.024994,301.024994,300.442230,4418684
2021-09-22,303.750000,324.450012,301.850006,310.350006,309.749207,2811402
2021-09-23,313.000000,318.649994,285.024994,291.049988,290.486542,2812430
2021-09-24,292.500000,312.000000,288.500000,296.274994,295.701447,1857200
2021-09-27,300.000000,315.500000,293.500000,306.674988,306.081299,2095732
2021-09-28,308.774994,315.924988,298.000000,300.625000,300.043030,1430788
2021-09-29,304.350006,311.850006,302.600006,303.700012,303.112091,1127698
2021-09-30,306.299988,307.500000,295.000000,297.174988,296.599701,1230688
2021-10-01,296.700012,307.500000,295.500000,301.575012,300.991180,1012934
2021-10-04,303.450012,307.350006,300.500000,301.274994,300.691742,1170144
2021-10-05,302.000000,303.524994,295.500000,297.625000,297.048828,735242
2021-10-06,299.399994,301.600006,291.000000,291.950012,291.384827,652268
2021-10-07,295.149994,309.250000,295.049988,297.200012,296.624664,778512
